pokerHand,strength
2S7D,1.4201183431952664
2S7H,1.4201183431952664
2D7D,1.4201183431952664
2C7H,1.4201183431952664
2S7S,1.4201183431952664
2C7S,1.4201183431952664
2S7C,1.4201183431952664
2D7C,1.4201183431952664
2H7H,1.4201183431952664
2H7C,1.4201183431952664
2D7S,1.4201183431952664
2C7C,1.4201183431952664
2H7D,1.4201183431952664
2C7D,1.4201183431952664
2D7H,1.4201183431952664
2H7S,1.4201183431952664
2S3D,1.5384615384615385
2D3S,1.5384615384615385
2S3H,1.5384615384615385
2S3S,1.5384615384615385
2H3H,1.5384615384615385
2H3D,1.5384615384615385
2C3S,1.5384615384615385
2D3D,1.5384615384615385
2C3H,1.5384615384615385
2H3C,1.5384615384615385
2C3D,1.5384615384615385
2S3C,1.5384615384615385
2C3C,1.5384615384615385
2D3C,1.5384615384615385
2H3S,1.5384615384615385
2D3H,1.5384615384615385
2S6C,1.6568047337278107
2D6C,1.6568047337278107
2H6D,1.6568047337278107
2D6H,1.6568047337278107
2D6D,1.6568047337278107
2D6S,1.6568047337278107
2H6C,1.6568047337278107
2C6D,1.6568047337278107
2C6S,1.6568047337278107
2S6D,1.6568047337278107
2C6H,1.6568047337278107
2H6S,1.6568047337278107
2H6H,1.6568047337278107
2S6S,1.6568047337278107
2S6H,1.6568047337278107
2C6C,1.6568047337278107
3C8C,1.952662721893491
3H8S,1.952662721893491
3H8C,1.952662721893491
3D8C,1.952662721893491
3C8H,1.952662721893491
3S8S,1.952662721893491
3S8D,1.952662721893491
3S8H,1.952662721893491
3C8D,1.952662721893491
3D8D,1.952662721893491
3H8D,1.952662721893491
3S8C,1.952662721893491
3D8H,1.952662721893491
3D8S,1.952662721893491
3H8H,1.952662721893491
3C8S,1.952662721893491
2C4H,2.0118343195266273
2H4H,2.0118343195266273
2C4S,2.0118343195266273
2D4D,2.0118343195266273
2S4H,2.0118343195266273
2D4H,2.0118343195266273
2D4C,2.0118343195266273
2C4C,2.0118343195266273
2H4C,2.0118343195266273
2H4S,2.0118343195266273
2S4D,2.0118343195266273
2H4D,2.0118343195266273
2S4S,2.0118343195266273
2D4S,2.0118343195266273
2C4D,2.0118343195266273
2S4C,2.0118343195266273
2S8D,2.0710059171597632
2D8C,2.0710059171597632
2C8H,2.0710059171597632
2H8H,2.0710059171597632
2H8C,2.0710059171597632
2D8S,2.0710059171597632
2S8C,2.0710059171597632
2S8H,2.0710059171597632
2D8D,2.0710059171597632
2C8C,2.0710059171597632
2H8D,2.0710059171597632
2H8S,2.0710059171597632
2D8H,2.0710059171597632
2C8S,2.0710059171597632
2S8S,2.0710059171597632
2C8D,2.0710059171597632
5C6C,2.2485207100591715
5S6H,2.2485207100591715
5S6D,2.2485207100591715
5H6D,2.2485207100591715
5D6C,2.2485207100591715
